perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3.6_months_late,Count_6.12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
0.113,19356,192050,2,0,0,99.34,11,A,Urban,7500,1
0.253,20089,98710,0,0,0,97.83,21,B,Urban,5700,1
0.138,16073,113620,0,0,0,99.19,4,D,Rural,1200,1
0.604,22275,235790,1,0,0,99.13,9,A,Rural,1200,1
0.348,18626,119610,0,0,0,98.08,9,C,Rural,3300,1
0.094,27019,125120,0,0,0,98.79,9,A,Urban,9600,1
0.001,14612,337560,0,0,0,99.22,12,D,Rural,28500,1
0,24470,126130,0,0,0,99.39,15,D,Urban,9600,1
0.062,23001,117140,0,0,0,99.57,10,B,Urban,9600,1
0.523,14977,420130,0,0,0,98.97,14,E,Rural,32700,1
0.021,27022,99140,0,0,0,99.87,12,B,Urban,9600,1
0.655,21913,975040,3,0,1,99.03,15,B,Rural,22200,1
0.157,20816,234060,0,0,0,99.32,13,A,Urban,26400,1
1,17525,192740,0,1,0,99.52,2,C,Rural,3300,1
0.342,26655,158690,0,0,0,99.22,8,A,Rural,18000,1
0.151,26657,128920,0,0,0,97.48,13,A,Urban,3300,1
0.138,17164,223170,0,0,0,99.24,7,C,Rural,11700,1
0,20080,183900,0,0,0,97.99,16,B,Urban,9600,1
0.955,21543,142640,1,0,0,99.48,23,A,Urban,3300,0
0.758,27751,184130,3,3,1,99.46,16,A,Urban,1200,1
0.265,21911,750140,0,0,0,98.29,35,A,Urban,34800,1
0.375,23738,203210,1,0,0,99.32,11,D,Urban,13800,1
0.086,9505,90030,0,0,0,99.66,4,A,Urban,5400,1
0.011,17167,162550,0,0,0,99.55,10,C,Urban,7500,1
0.097,14247,80110,0,0,0,98.67,4,A,Rural,5700,1
0.481,13882,144130,2,0,0,98.16,11,C,Urban,7500,1
0,12419,120090,0,0,0,99.51,8,B,Urban,11700,1
0.987,15705,138100,2,0,0,98.39,14,D,Urban,9600,0
0.047,23733,87540,0,0,0,99.84,14,A,Rural,5400,1
0.597,23371,600150,0,0,0,99.08,24,B,Urban,32700,1
0.406,19715,133000,0,0,0,98.1,11,A,Urban,9600,1
0.291,28482,202900,0,0,0,99.59,18,B,Rural,9600,1
0.093,23373,360150,0,0,0,99.68,6,B,Urban,13800,1
0.015,14613,75130,0,0,0,NA,6,A,Urban,5700,1
1,21176,56910,0,0,0,99.12,6,A,Urban,3300,1
0.048,17895,141030,3,0,0,98.31,13,A,Urban,7500,1
0.026,21911,145030,0,0,0,99.82,18,A,Rural,7500,1
0.009,20815,222040,0,0,0,99.47,8,B,Rural,13800,1
0.312,14611,201070,0,0,0,98.86,25,A,Rural,1200,1
0.03,18986,120120,0,0,0,NA,4,B,Urban,5400,1
0,15340,85120,0,0,0,99.08,11,A,Rural,9600,1
0.68,13150,90070,0,0,0,99.14,6,B,Urban,3300,1
1,9138,70170,1,0,0,99.75,2,A,Rural,3300,0
0.537,9134,87630,0,0,0,99.53,6,A,Urban,5400,1
0.051,30670,132060,0,0,0,99.55,8,A,Urban,5400,1
0.071,18628,150080,0,0,0,98.92,8,B,Rural,15900,1
0.053,28843,93070,0,0,0,99.16,10,A,Rural,5700,1
0.007,22275,72130,0,0,0,99.89,8,A,Urban,3300,1
0.642,17527,175030,0,0,0,99.21,13,D,Urban,9600,1
0.868,16804,315070,0,0,0,99.67,4,A,Urban,22200,1
0.915,11687,164290,2,0,0,98.42,12,C,Rural,1200,0
0.673,14974,63080,0,0,0,99.4,8,C,Urban,5400,1
1,20088,138110,0,0,0,98.09,4,A,Rural,11700,1
0.103,16798,417080,0,0,0,98.97,18,A,Urban,22200,1
0.232,15339,266940,0,0,0,99.18,6,A,Urban,13800,1
0.039,17525,228860,0,0,0,99.58,10,D,Urban,9600,1
0.551,14971,300080,0,0,0,98.78,13,A,Urban,1200,1
0.044,11694,94360,0,0,0,98.89,13,A,Rural,3300,1
0.5,13883,201080,0,0,0,99.23,10,C,Urban,1200,1
0.012,20089,512560,0,0,0,99.46,5,A,Urban,18000,1
0.361,13883,191830,0,0,0,99.33,6,B,Urban,11700,1
0.019,25192,1060110,0,0,0,99.71,18,C,Urban,57900,1
0.009,22641,127580,0,0,0,99.89,3,B,Urban,7500,1
0.132,17161,500030,0,0,0,99.23,16,C,Urban,3300,1
0,20814,550030,0,0,0,99.28,16,A,Urban,3300,1
0.583,10229,51110,0,0,0,98.06,6,B,Rural,5700,1
0.132,22639,97770,0,0,1,99.59,18,A,Urban,7500,1
0.083,17895,150040,0,0,0,99.86,4,D,Urban,20100,1
0.601,9861,112560,1,0,0,99.76,10,A,Rural,9600,1
0.645,21545,264090,0,1,0,98.94,20,A,Urban,13800,1
0.138,16805,100640,1,0,0,98.78,19,C,Urban,5700,1
0.961,16438,29570,2,0,0,95.13,12,B,Rural,1200,1
0.027,10229,83200,0,0,0,99.61,5,A,Rural,5400,1
0.914,15709,83060,1,0,0,97.92,13,A,Urban,1200,1
0.008,17529,495140,0,0,0,99.33,19,D,Urban,3300,1
0.031,16065,315030,0,0,0,99.47,8,C,Urban,13800,1
0,29579,90040,0,0,0,98.84,8,A,Rural,5400,1
0.172,20449,125120,0,0,0,99.86,4,A,Rural,9600,1
0.321,18628,295130,1,0,0,98.76,14,B,Urban,1200,1
0,14247,162610,0,0,0,98.88,8,C,Urban,11700,1
0,24467,206820,0,0,0,99.25,12,A,Urban,1200,1
0.76,19723,253560,0,0,0,98.79,9,C,Urban,3300,1
0.026,26286,136350,0,0,0,99.89,3,B,Urban,3300,1
0.01,17892,69030,0,0,0,99.72,17,A,Urban,1200,1
0.015,24827,159060,0,0,0,98.22,14,A,Rural,5400,1
0.013,10956,142620,0,0,0,99.26,6,A,Urban,9600,1
1,14244,180100,1,0,0,98.35,7,C,Urban,13800,1
0.4,19721,237050,1,0,0,98.88,22,D,Urban,18000,1
1,21909,112650,0,1,2,99.34,4,A,Urban,5400,0
0.038,16795,267830,0,0,0,99.42,11,C,Urban,15900,1
0,20086,72120,0,0,0,99.09,6,B,Urban,1200,1
0.035,18623,210080,0,0,0,99.79,7,A,Urban,7500,1
0.422,12781,112600,2,4,0,99.62,10,A,Rural,9600,1
0.003,13876,97970,0,0,0,99.17,5,A,Rural,3300,1
0.287,21544,300100,1,0,0,98.88,26,B,Urban,13800,1
0.302,23003,101510,0,0,0,98.35,8,A,Urban,5400,1
0.392,15702,100100,0,0,0,99.55,5,D,Urban,1200,1
1,8774,39120,0,0,0,99.51,5,A,Urban,5700,1
0.704,14242,199790,0,0,0,98.14,14,C,Urban,13800,1
0.934,16073,69060,3,1,0,99.29,8,C,Urban,5400,0
0.142,15343,108070,0,0,0,98.32,7,D,Urban,5400,1
0.044,27753,249850,0,0,0,99.14,15,A,Urban,11700,1
0.058,14246,253710,0,0,0,99.85,7,B,Rural,1200,1
0.037,13513,198840,0,0,0,99.21,11,C,Rural,3300,1
0,20818,375040,0,0,0,99.38,16,B,Rural,7500,1
0.029,16068,270110,0,0,0,99.35,7,A,Urban,22200,1
0.009,19355,150050,0,0,0,99.89,9,A,Urban,9600,1
0.583,24833,156120,1,0,0,98.98,13,A,Urban,13800,1
0.205,12423,120150,0,0,0,98.9,7,B,Urban,7500,1
0.221,24833,224130,0,0,0,99.24,9,D,Urban,11700,1
0.989,17893,128870,0,0,0,98.65,6,B,Urban,1200,1
0.259,21540,195090,0,0,0,99.03,12,A,Urban,5400,1
0.687,10595,138870,0,0,0,99.88,4,A,Urban,1200,1
0.309,18988,423730,1,0,2,99.64,12,A,Urban,3300,1
0.031,15707,351120,0,0,0,99.56,14,D,Urban,18000,1
0,23001,57680,0,0,0,NA,4,A,Urban,5400,1
0.944,10226,95100,0,0,0,99.53,5,B,Urban,5400,1
0.115,10960,120090,0,0,0,99.04,25,A,Urban,11700,1
0.063,14972,305420,0,0,0,99.24,14,A,Urban,15900,1
0.393,10960,59380,0,0,0,99.3,6,A,Rural,5400,1
0.365,16432,340050,1,0,0,99.26,20,C,Rural,22200,1
0.608,10959,80030,0,0,0,99.66,4,A,Urban,5400,1
0.597,15341,900050,0,0,0,99.58,13,D,Urban,60000,1
1,9865,43010,1,1,0,98.71,6,A,Rural,1200,1
0.211,20811,88220,0,0,0,99.2,9,A,Rural,3300,1
0.519,19724,92630,3,0,2,99.3,10,A,Rural,7500,1
0.333,16068,90110,0,0,0,99.42,13,D,Urban,5400,1
0.445,20447,542550,0,0,0,99.18,14,C,Urban,5400,1
0.153,20810,166100,1,0,0,96.78,18,E,Urban,7500,1
0.012,25560,210030,0,0,0,96.76,11,A,Rural,26400,1
0.98,12053,122480,1,0,0,97.32,11,C,Urban,7500,1
1,17166,48090,0,0,0,99.58,3,A,Urban,3300,1
0.015,24095,257600,0,0,0,99.55,6,A,Urban,11700,1
0.063,18265,212640,0,0,0,99.53,5,A,Urban,13800,1
0.07,22638,990140,0,0,0,99.67,23,B,Rural,57900,1
1,17898,117590,1,0,0,99.51,7,A,Urban,1200,1
0.194,20447,75130,0,0,0,99.37,8,A,Rural,5700,1
0.113,23007,96420,0,0,0,99.79,12,A,Rural,5400,0
0.728,22280,230710,0,0,0,99.23,12,A,Urban,24300,1
0.073,25191,165150,0,0,0,99.74,8,A,Rural,15900,1
0.023,24825,66140,0,0,0,97.35,11,A,Urban,5700,1
0.074,21185,123360,1,0,0,98.94,8,A,Rural,3300,1
0.175,20084,249150,0,0,0,98.85,19,C,Urban,7500,1
0.209,11694,149890,0,0,0,98.86,6,A,Urban,3300,1
0,14610,158930,0,0,0,99.64,7,A,Urban,7500,1
0.987,10962,190940,1,0,0,99.4,11,A,Rural,7500,1
0.002,22279,78140,0,0,0,98.59,10,A,Urban,5400,1
0.186,23740,256170,0,0,0,99.8,11,A,Rural,11700,1
0.619,18624,330050,3,0,0,99.08,20,C,Urban,15900,0
0.874,16805,82380,0,0,0,98.39,13,A,Urban,3300,1
0.346,15339,162620,0,0,0,99.46,10,B,Urban,11700,1
0.081,22644,325080,0,0,0,99.86,5,C,Urban,22200,1
0.071,22635,192670,0,0,0,99.09,6,A,Rural,7500,1
0,30309,156080,0,0,0,NA,3,A,Urban,11700,1
0.402,13514,150050,0,0,0,98,22,A,Urban,9600,1
0.368,18261,360100,2,0,0,99.04,15,C,Rural,36900,1
0.524,17161,134110,0,0,0,97.54,13,B,Urban,11700,1
0.179,14250,187290,0,0,0,99.04,17,A,Urban,9600,1
0.213,21909,249570,2,0,0,99.04,10,C,Urban,22200,1
0.263,23010,144110,1,0,0,98.52,16,A,Urban,7500,1
0.76,21175,156450,0,0,0,98.9,8,A,Urban,9600,1
0,17533,91280,1,0,0,96.73,19,B,Rural,9600,1
0.14,19718,245040,0,0,0,99.57,19,D,Urban,22200,1
0.907,21546,177990,0,0,1,99.78,4,D,Rural,7500,1
0.947,12419,240140,1,0,0,98.73,8,C,Rural,9600,1
0.1,21176,331020,2,0,0,99.34,13,B,Urban,34800,1
0.194,20453,180150,0,0,0,99.34,8,A,Rural,20100,1
0.609,10229,56810,1,0,0,99.42,7,A,Urban,1200,1
0.04,29580,117120,0,0,0,99.88,6,A,Urban,9600,1
0.728,16072,200110,0,0,0,98.96,9,A,Rural,9600,1
0.493,21914,87930,0,0,0,96.68,18,B,Urban,5400,1
0.258,21180,294190,0,0,0,98.43,14,A,Rural,24300,1
0.919,13875,146160,0,0,0,99.16,9,A,Urban,1200,1
0.33,13155,107940,0,0,0,98.89,18,C,Rural,1200,1
0.111,15704,165060,0,0,0,98.8,10,A,Rural,15900,1
0.047,25193,315140,0,0,0,99.85,14,A,Rural,24300,1
0.009,28111,45100,0,0,0,99.82,14,A,Rural,5400,1
0.015,16069,145020,1,0,0,99.17,14,C,Urban,18000,1
0.482,12787,60070,0,0,0,98.64,11,A,Urban,3300,1
0.665,24467,231130,0,0,0,99.39,12,A,Urban,20100,1
0.04,12059,63150,0,0,0,98.42,12,A,Urban,5700,1
0.134,21905,116190,0,0,0,99.34,9,A,Rural,9600,1
0.716,11685,212860,0,0,0,99.11,8,A,Rural,5400,1
0.592,13884,405140,0,0,0,98.84,15,D,Urban,41100,0
0.222,17896,150100,0,0,0,98.63,19,C,Urban,9600,1
0.048,23007,75140,0,0,0,99.8,11,A,Urban,5400,1
0.72,20447,155060,0,0,0,98.66,10,B,Rural,13800,1
0.047,15335,386340,0,0,0,99.51,15,D,Urban,9600,1
0.204,16805,174130,1,1,0,97.12,14,C,Urban,3300,1
0.834,11321,126140,0,0,0,99.28,11,A,Urban,11700,1
0.154,17527,106330,0,0,0,97.91,18,A,Rural,5400,1
0.453,17167,195070,4,0,1,98.92,9,C,Urban,7500,1
0.923,10964,125050,1,0,0,99.75,7,A,Rural,3300,0
0.208,16068,79060,0,0,0,98.96,7,A,Urban,5400,1
0.043,21180,301740,0,0,0,99.85,17,A,Urban,13800,1
0.004,16069,165050,0,0,0,97.84,6,D,Rural,5700,1
0.98,19358,361600,0,0,0,98.66,11,E,Urban,18000,0
0.023,33228,239860,0,0,0,99.89,11,A,Rural,1200,1
0.144,13516,213060,0,0,0,98.77,10,D,Urban,13800,1
0.009,18261,86540,0,0,0,99.89,8,A,Rural,9600,1
0.014,21546,302630,0,0,0,98.72,12,A,Rural,26400,1
0.326,27751,150040,0,0,0,98.79,11,B,Rural,9600,1
0.163,18263,162520,0,0,0,98.55,22,A,Urban,9600,1
0.029,25194,198100,0,0,0,98.78,12,A,Urban,15900,1
0.589,23736,92790,0,0,0,98.34,14,A,Urban,7500,1
0.29,17528,216050,0,0,0,99.54,13,B,Urban,11700,1
0.332,13885,222120,0,0,0,99.08,16,B,Urban,13800,1
0.101,16436,145280,0,0,0,99.88,9,A,Rural,5400,1
0.029,22642,292040,0,0,0,99.54,13,B,Urban,15900,1
0.061,22635,200050,0,0,0,98.88,9,D,Urban,11700,0
0.196,16439,111120,0,0,0,98.48,10,C,Urban,7500,1
0.233,22636,195040,0,0,0,98.36,19,A,Urban,11700,0
0.015,16071,135120,0,0,0,98.94,18,B,Urban,7500,1
0.516,23000,1332000,0,0,0,98.91,21,A,Urban,60000,1
0.054,13149,33100,1,0,0,99.03,5,A,Urban,1200,1
0.054,22635,251700,1,0,0,99.26,18,A,Urban,11700,1
0,13512,156130,0,0,0,99.06,8,D,Urban,11700,1
0,19360,172550,0,0,0,99.02,9,C,Urban,3300,1
0.622,10593,149510,0,0,0,99.59,7,A,Urban,7500,1
0,13877,75040,0,0,0,99.63,10,A,Urban,3300,1
1,15336,90030,0,0,0,99.71,3,B,Rural,7500,1
0.152,21183,271060,0,0,0,98.76,27,B,Urban,13800,1
0.032,17533,198110,0,0,0,99.35,11,A,Rural,1200,1
0.079,15708,150110,0,0,0,99.37,12,C,Urban,3300,1
0.253,15704,160110,0,0,0,99.83,3,A,Rural,13800,1
0.245,19350,109630,1,0,0,98.43,8,B,Urban,5400,1
0.068,27389,62630,0,0,0,99.71,13,A,Rural,3300,1
0.003,23003,145550,0,0,0,99.46,7,A,Rural,9600,1
0.042,10964,133840,0,0,0,99.17,5,A,Rural,5400,1
0.452,12790,105100,0,0,0,99.57,5,A,Rural,5400,1
0.984,17896,130020,0,0,0,98.44,10,B,Rural,7500,1
0,20088,154260,0,0,0,99.39,8,B,Rural,11700,1
0.037,22636,272520,0,0,0,99.76,12,B,Urban,13800,1
0.016,15707,135150,0,0,0,99.17,16,A,Urban,1200,1
0.037,17533,165050,0,0,0,99.44,5,A,Urban,9600,1
0.257,19350,168030,0,0,0,99.62,10,A,Rural,9600,1
0.06,12058,329300,0,0,0,99.49,6,C,Urban,26400,1
0.078,25556,142910,0,0,0,99.55,11,A,Rural,11700,1
0.187,23736,162560,0,0,0,99.41,7,A,Rural,3300,1
0.072,23003,199580,0,0,0,98.84,22,B,Urban,20100,0
0.774,23365,88830,0,0,0,99.23,6,A,Urban,5400,1
0.081,12424,162540,0,0,0,98.37,11,C,Urban,15900,1
0.958,17528,281760,2,0,0,NA,20,C,Urban,15900,1
0.209,17530,125070,0,0,0,99.02,5,C,Rural,3300,1
0.182,26295,99080,0,0,0,98.12,26,A,Urban,7500,1
0.54,10961,156090,0,0,2,99.57,10,E,Rural,7500,0
0.113,15709,150070,0,0,0,98.69,6,C,Rural,7500,1
1,19715,165090,0,0,0,99.88,4,A,Urban,7500,1
0.667,18622,158260,0,0,0,99.66,7,A,Urban,9600,1
0.464,10965,180040,0,0,0,99.47,9,B,Urban,11700,1
0.065,12421,54130,0,0,0,99.51,7,A,Urban,5700,1
0.429,21181,423050,0,0,0,99.46,10,A,Urban,24300,1
0.526,24467,205110,0,0,0,99.24,12,A,Urban,18000,1
0.044,17898,154980,0,0,0,98.82,14,A,Urban,9600,1
0.983,10232,90090,4,1,0,99.33,9,B,Urban,5400,1
0.042,20449,240120,0,0,0,99.13,20,C,Urban,1200,1
0.259,22641,125010,0,0,0,99.29,14,A,Urban,9600,1
0.684,19718,130100,0,10,0,96.88,13,A,Rural,5400,1
0,8041,28000,0,0,0,NA,4,A,Rural,1200,1
0.903,23375,69060,0,0,0,98.91,6,A,Urban,5400,1
0.042,22639,60120,0,0,0,98.58,10,A,Urban,3300,1
0.026,28481,315100,0,0,0,99.89,6,A,Urban,18000,1
0.127,25922,478770,0,0,0,99.27,24,A,Urban,26400,1
0.106,23731,144130,0,0,0,99.76,10,A,Rural,11700,1
0.338,22641,84030,0,0,0,99.33,13,A,Rural,3300,1
0.382,24097,96130,0,0,0,98.91,9,A,Rural,9600,1
0.036,18985,212570,0,0,0,99.8,4,A,Urban,1200,1
0.5,14607,951320,0,0,0,99.74,8,C,Rural,39000,1
0.252,18262,758500,0,0,0,98.96,26,A,Urban,60000,1
0.015,10958,95590,0,0,0,98.8,8,A,Rural,1200,1
0.151,23001,294120,0,0,0,99.37,9,B,Urban,22200,1
0.028,23368,180040,0,0,0,99.64,6,A,Urban,9600,1
0.361,10234,175610,0,1,0,98.67,14,A,Urban,9600,1
0.782,15705,142620,0,0,0,98.84,7,C,Urban,9600,1
0.257,12422,53360,2,0,0,98.36,8,D,Urban,5400,1
0.296,15705,300080,0,0,0,98.92,8,D,Rural,18000,1
0.527,18626,141050,0,0,0,98.24,17,A,Rural,7500,1
0.101,27746,210030,0,0,0,99.82,4,A,Urban,11700,1
1,21185,120120,2,0,2,98.4,6,B,Urban,7500,1
0.203,16073,132070,0,0,0,99.29,6,A,Urban,9600,1
0.004,18256,162580,0,0,0,NA,10,A,Rural,11700,1
0.262,24102,165050,0,0,0,99.5,11,A,Urban,13800,1
0.876,16795,174090,1,0,0,97.91,16,A,Urban,9600,1
0.857,14250,109210,0,0,0,99.57,10,A,Urban,9600,1
0.308,20445,137880,0,0,0,98.8,11,A,Rural,7500,1
0,22278,113800,0,0,0,99.42,9,A,Rural,9600,1
0.08,11695,219090,0,0,0,99.76,5,D,Rural,20100,1
0.393,24462,120050,0,0,0,99.09,8,A,Rural,9600,1
0.082,23735,150130,0,0,0,99.85,4,A,Urban,7500,1
0.022,18992,230840,0,0,0,99.78,14,A,Urban,7500,1
0.139,17527,330100,0,0,0,99.06,9,C,Urban,22200,1
0.126,20813,100570,1,0,0,98.82,14,D,Urban,9600,1
0.01,27386,108050,0,0,0,99.41,8,A,Rural,5400,1
0.422,18625,52900,0,0,0,98.91,12,C,Rural,3300,1
0.89,16068,200190,0,0,0,99.14,9,C,Urban,9600,1
0.314,14971,120070,1,0,0,99.38,13,A,Rural,3300,1
0.101,20817,375110,0,0,0,98.37,22,A,Rural,24300,1
0.531,20819,1200140,0,0,0,98.95,20,C,Urban,57900,1
0.556,16071,165100,0,0,0,98.9,10,C,Urban,5400,1
0.167,13514,132130,0,0,0,98.65,16,A,Urban,7500,1
0,27024,126140,0,0,0,NA,6,A,Urban,5400,1
0.389,22280,75100,0,0,0,98.29,8,B,Urban,1200,1
0.051,28111,105040,0,0,0,99.61,7,A,Urban,5400,1
0.883,18622,103970,4,0,0,98.07,18,B,Urban,7500,1
0.002,13511,105080,0,0,0,98.71,7,B,Urban,7500,1
0.343,18990,450080,1,0,0,99.2,17,B,Urban,28500,1
0.017,18262,200050,0,0,0,98.64,6,C,Urban,13800,1
0.681,17165,225050,0,0,0,97.63,18,B,Urban,18000,0
0.147,12417,64160,0,0,0,97.31,7,A,Rural,1200,1
0.002,22277,120110,0,0,0,98.98,13,A,Urban,5400,1
0.302,9136,147330,0,0,0,99.14,13,D,Urban,7500,1
0.081,9870,210140,0,0,0,99.72,5,A,Rural,9600,1
0.933,14973,168360,0,0,0,98.72,15,A,Rural,7500,1
0.072,22639,254080,1,0,0,99.22,15,A,Urban,18000,1
0.406,13148,43280,0,0,0,98.3,7,A,Urban,5700,1
0.648,13885,120060,0,0,0,98.83,8,C,Rural,3300,1
0.006,29571,690140,0,0,0,NA,6,A,Urban,57900,1
0.364,15700,240060,0,0,0,98.79,11,B,Rural,1200,1
0.657,15343,96050,0,0,0,99.84,4,A,Urban,7500,1
0.443,22640,175370,0,0,0,97.31,28,C,Rural,7500,1
0.057,17534,103800,0,0,0,99.25,22,A,Rural,7500,1
0,28846,134030,0,0,0,99.7,10,A,Urban,1200,1
0.02,19723,462280,0,0,0,99.08,12,B,Rural,49500,1
0.522,20815,125050,0,0,0,99.38,9,A,Urban,5700,1
0.167,18629,365540,2,0,0,98.26,17,A,Urban,26400,1
0.003,17890,146710,0,0,0,99.12,19,B,Urban,9600,1
0.212,13151,170120,0,0,0,98.67,10,C,Urban,9600,1
0.284,20086,130140,0,0,0,96.4,16,C,Rural,3300,1
0.008,18628,93800,0,0,0,98.14,10,C,Rural,3300,1
0,27749,30060,0,0,0,99.52,6,A,Rural,3300,1
0.012,18994,150060,0,0,0,97.7,15,A,Rural,13800,1
0.098,10231,150100,0,0,0,99.64,12,A,Urban,3300,1
0,16797,162630,0,0,0,96.6,9,B,Urban,7500,1
0.529,20817,506070,0,0,0,99.45,11,B,Rural,24300,1
0.104,24096,390070,0,0,0,99.86,8,A,Rural,28500,1
0.195,18990,228560,0,0,0,98.92,15,A,Rural,9600,1
0.385,15700,121080,0,0,0,98.64,9,B,Rural,11700,1
0.776,21546,189360,0,0,0,98.57,14,D,Rural,15900,1
0.252,17525,165140,0,0,0,99.13,8,A,Urban,5400,1
0,10958,171520,0,0,0,NA,6,A,Urban,24300,1
0.027,21185,696140,0,0,0,99.21,12,B,Urban,22200,1
1,13150,282610,0,0,0,98.81,11,D,Rural,3300,1
0.017,28115,156070,0,0,0,99.88,11,A,Urban,1200,1
0.083,16800,195930,0,0,0,99.13,7,C,Rural,5400,1
0.934,17167,397330,0,0,0,99.02,12,C,Urban,20100,1
0.01,18630,232590,0,0,0,99.02,12,C,Urban,9600,1
0,20813,170920,0,0,0,98,19,B,Urban,9600,1
0.005,17530,120080,0,0,0,NA,11,B,Rural,5400,1
0.226,25199,49310,0,0,0,98.98,9,B,Urban,5700,1
0.747,20450,138010,3,0,0,98.98,6,B,Urban,11700,1
0.254,20083,302310,0,0,0,98.58,13,B,Rural,1200,1
0.15,13878,169190,0,0,0,99.12,15,B,Rural,7500,1
0.078,13512,258150,0,0,0,99.31,8,D,Urban,13800,1
0.006,29576,72080,0,1,0,99.89,8,A,Urban,3300,1
0.561,13153,268270,0,0,0,99.06,17,A,Urban,13800,1
0.858,8771,62880,1,0,0,99.46,6,A,Urban,3300,1
1,14975,189860,0,1,0,99.72,4,B,Rural,1200,1
0.303,14975,423570,0,0,0,99.53,9,D,Rural,39000,1
0.114,19353,320070,0,0,0,98.97,12,B,Urban,3300,1
0.062,24834,104060,0,0,0,99.88,5,A,Rural,5400,1
0.024,18622,150030,0,0,0,99.56,7,B,Urban,7500,1
0.031,28119,70550,0,0,0,98.85,7,A,Urban,3300,1
0.035,16069,258070,0,0,0,99.88,10,B,Urban,13800,1
0.924,25558,170500,0,0,0,98.75,10,A,Rural,9600,1
0.588,14609,139830,2,0,0,98.97,7,D,Rural,5400,1
0.057,23010,569860,1,0,0,99.38,19,A,Rural,57900,1
0.254,11322,135100,0,0,0,98.71,13,B,Urban,5400,1
0.735,21184,144140,0,0,0,99.34,8,A,Urban,9600,1
0.092,15706,218030,0,0,0,99.83,11,A,Rural,20100,1
0,17165,329090,0,0,0,98.98,7,B,Urban,28500,1
0,21177,35060,0,0,0,NA,14,A,Rural,3300,1
0.026,26658,162560,0,0,0,99.23,16,A,Urban,9600,1
0,18985,150050,0,0,0,98.81,7,A,Urban,11700,1
0.191,15700,187550,0,0,0,99.09,8,B,Urban,9600,1
0.153,17164,42510,0,0,0,93.97,17,B,Rural,5700,1
0.181,23010,176190,0,0,0,99.14,12,A,Urban,13800,1
0.059,27750,123030,0,0,0,99.52,9,A,Urban,5400,1
0.324,24098,102620,0,0,0,99.7,8,A,Urban,7500,1
0.092,12057,123240,0,0,0,99.66,6,A,Urban,15900,1
0.17,18623,390100,0,0,0,98.97,25,A,Rural,1200,1
0.052,16073,216290,0,0,0,99.76,14,C,Urban,9600,1
0.012,13520,270130,0,0,0,99.15,12,C,Urban,26400,1
0.073,20088,222060,0,0,0,99.89,11,A,Urban,11700,1
0.007,24463,325140,0,0,0,99.14,16,B,Urban,18000,1
0.203,23002,332550,0,0,0,98.89,19,B,Urban,26400,1
0.191,19355,127340,0,0,0,98.22,14,A,Urban,7500,0
0.258,24826,247390,0,0,0,99.29,13,A,Rural,26400,1
0.132,14978,474070,0,0,0,99.64,7,C,Urban,22200,1
0.157,25924,92540,0,0,0,98.89,10,A,Urban,3300,0
0.126,18987,285130,0,0,0,99.48,6,C,Urban,13800,1
0.291,21176,122170,0,0,0,98.38,11,A,Rural,5400,1
0.015,24096,291140,0,0,0,99.89,9,A,Urban,22200,1
0.106,18263,177360,1,0,0,99.23,14,A,Urban,9600,1
0.904,15339,68510,0,0,0,99.56,5,D,Urban,1200,0
0.416,13153,215030,0,0,0,99.82,5,B,Rural,15900,1
0.196,21543,154860,1,0,0,98.86,14,C,Rural,3300,1
0.155,15705,162820,0,0,0,98.4,9,A,Rural,11700,1
0.257,15708,167520,0,0,0,98.78,18,A,Urban,5400,1
0.024,18987,390050,0,0,0,99.89,12,A,Urban,13800,1
0.954,16435,177710,0,0,0,98.9,13,D,Rural,22200,1
0.005,23739,189030,0,0,0,NA,11,A,Urban,11700,1
0.52,16068,284520,2,0,0,99.25,17,C,Urban,22200,1
0.039,27751,282290,0,0,0,99.44,5,A,Urban,18000,1
0.034,29210,240060,0,0,0,99.27,13,B,Rural,24300,1
0.205,13146,134460,0,0,0,99.66,13,A,Urban,1200,1
0.067,21912,288040,0,0,0,98.94,15,B,Urban,11700,1
0,25922,182570,0,0,0,99.86,10,A,Urban,11700,1
0.067,20810,615180,0,0,0,99.03,13,B,Urban,20100,1
0.702,23368,183030,0,0,0,99.04,13,B,Rural,1200,1
0.153,16434,200060,0,0,0,98.81,9,C,Rural,13800,1
0.14,18988,169090,1,0,0,98.76,18,A,Rural,1200,1
0.01,26652,232530,0,0,0,99.65,9,A,Urban,11700,1
0.837,14244,61600,0,0,0,98.96,5,D,Rural,3300,1
0.002,21180,262590,0,0,0,99.41,14,A,Urban,3300,1
0.022,24095,132550,0,0,0,99.13,14,A,Rural,5400,1
0.039,16437,270140,0,0,0,99.89,6,B,Urban,15900,1
0.611,8040,24030,0,0,0,99.1,6,A,Urban,1200,1
0.782,17531,352530,0,0,0,99.3,11,D,Rural,28500,1
0.022,30302,101520,0,0,0,99.89,6,A,Urban,5400,1
0.17,19725,413670,2,1,0,97.61,29,B,Urban,32700,1
0.656,17891,210090,0,0,1,99.47,7,D,Urban,9600,1
0.49,21914,114110,2,0,0,98.59,9,B,Rural,7500,1
0.009,27387,55250,0,0,0,99.89,7,A,Urban,3300,1
0.023,24833,176420,0,0,0,99.89,8,A,Rural,15900,1
